S,sigma,timelapse
2086,2.6139,3637.087787664
6433,5.1523,3639.2048981440003
4293,7.5762,3642.473291762
5540,10.0174,3644.744973879
976,12.3575,3647.39210411
21,14.7297,3653.593111511
9247,17.055,3664.263791939
4228,19.3438,3668.352341835
1664,21.6147,3672.913730148
371,24.0311,3677.9652763940003
5210,26.2029,3726.807257378
2652,28.3711,3738.563454854
8073,30.5847,3751.062626768
7097,32.746,3771.24918252
4792,34.9926,3778.506825299
588,37.1984,3786.204529644
874,39.3409,3794.345853844
7869,41.5179,3811.2426532140003
6035,43.7068,3829.083193193
4217,45.839,3838.550685996
310,48.0015,3868.073275569
829,50.0588,3878.385128112
2627,52.2558,3910.408054715
8633,54.3837,3921.623044889
7808,56.4098,3967.8531252800003
804,58.4659,4028.3274191190003
1160,60.4662,4148.641494032
4526,62.4538,4210.560386235
5128,64.3928,4619.680321885
4674,66.3655,4685.383352711
159,68.3643,4929.297771058
196,70.3161,5068.728621501
968,72.2382,5284.312656366999
201,74.1476,5431.018375664999
5944,76.0796,5446.301236736
9544,77.9758,5508.047102058999
7117,79.9625,5571.532154779
9295,81.9285,5587.858182802
1534,83.8554,5604.6130623829995
6906,85.7539,5706.368344013999
5070,87.7024,5845.724863851
6666,89.6079,5881.267288116999
3732,91.6746,5935.7882392639995
5158,93.5748,5954.410520533999
1877,95.5508,5992.333110218
5170,97.46,6011.729880612999
1527,99.3718,6228.694238112
5143,101.4353,6248.817718464
9057,103.3202,6658.321631805
1074,105.2601,6679.900836793
2304,107.0787,11756.570762474
2893,109.0364,12019.912441921
6847,110.8957,12641.943442814001
5638,112.8843,12938.639743031
5704,114.7495,14605.400946178
11482,116.577,15681.906253111001
4933,118.3851,15779.653877198001
6908,120.2437,15908.923570411
11145,122.2311,15958.404008419
3371,124.2136,15983.391230966
3399,126.1549,16335.304091297001
5516,128.1213,16361.040547799
5093,129.9115,17177.88911909
3845,131.8053,17285.357445663
2999,133.5994,17367.530953618
7318,135.4053,17395.206731496
1404,137.2309,17423.221365038
6641,139.1676,17451.879188989
9451,141.0051,17538.052026212
3380,142.8892,17567.172051422
8412,145.0088,17596.632907335
6221,146.8212,17716.137880427
5733,148.7534,17867.848814463
7138,150.5958,17928.447368633002
5747,152.3878,18112.076603441
5778,154.3013,18298.495873156
5147,156.1158,18642.719556779
5641,157.8926,18801.516886552
2337,159.8301,18964.44185
10787,161.6302,18997.464746934
2336,163.5044,19098.382501749
2037,165.2708,19267.540633338
2082,167.0196,19335.511840675
7983,169.0173,19438.989339275002
5693,170.7599,20168.281325515
3952,172.6777,20413.597144496
2562,174.5279,20483.661459045
9487,176.4426,20518.703437036
8238,178.3548,20554.017219422
8522,180.0755,21192.372874156
7657,181.8096,21378.911622569
2848,183.6189,21416.145232689
1724,185.511,21528.695508593002
8330,187.462,21642.761278844002
7359,189.2911,21681.239273769
7568,191.0105,21720.061868971
5695,192.983,21759.128632703
1990,194.7046,22310.674824047
9661,196.4779,22830.263055492
1947,198.2825,22870.728226659
