k,sigma
1,1.4713
2,2.934
3,4.3453
4,5.8684
5,7.34
6,9.3562
7,12.0299
8,13.7651
9,15.4372
10,17.1049
11,18.4806
12,20.327
13,21.7537
14,23.1924
15,24.4976
16,25.9215
17,27.1699
18,28.6609
19,30.2846
20,32.2273
21,33.6999
22,35.1366
23,36.7195
24,37.9088
25,39.1003
26,40.4822
27,41.6922
28,43.132
29,44.075
30,45.5082
