k,sigma
1,1.3675
2,3.2828
3,5.0804
4,6.1903
5,7.3366
6,8.9223
7,10.7746
8,12.0873
9,13.0525
10,14.2956
11,15.6988
12,16.9149
13,18.343
14,19.5293
15,20.7489
16,21.7841
17,22.7639
18,23.6761
19,25.16
20,26.4569
21,27.369
22,28.3328
23,29.5432
24,30.8202
25,32.2288
26,33.0978
27,33.9206
28,34.7752
29,36.182
30,37.2661
